Slovenia National Institute of Public Health,http://nijz.si/sl/podrocja-dela/nalezljive-bolezni/cepljenje,November 2018,10/6/2019
Sociedade Brasileira de Imunizações (SBIm),https://sbim.org.br/,August 2017,10/6/2019
Somos Mamás,https://www.somosmamas.com.ar/,December 2018,10/6/2019
Szczepienia.info,http://szczepienia.pzh.gov.pl/,January 2019,10/6/2019
The History of Vaccines - La Historia de las Vacunas,https://www.historyofvaccines.org/,July 2016,10/6/2019
The Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/vaccinationer/,March 2016,10/6/2019
VaccinarSì,https://www.vaccinarsi.org/,July 2017,10/6/2019
Vaccine Education Center at the Children's Hospital of Philadelphia,https://www.chop.edu/centers-programs/vaccine-education-center,April 2018,10/6/2019
Vaccine Knowledge Project,http://vk.ovg.ox.ac.uk/,April 2018,10/6/2019
Vaccine Safety - Public Health Ontario,https://www.publichealthontario.ca/en/BrowseByTopic/InfectiousDiseases/Pages/Vaccine-Safety.aspx,July 2019,10/6/2019
Vaccines Today,https://www.vaccinestoday.eu/,April 2018,10/6/2019
Vaccines411,https://vaccines411.ca/en/,December 2018,10/6/2019
VACFA,http://www.vacfa.uct.ac.za/,May 2017,10/6/2019
VACSATC - Oltásbiztonság,http://www.oltasbiztonsag.hu/,August 2017,10/6/2019
Viral Hepatitis Prevention Board,http://www.vhpb.org/,March 2017,10/6/2019
YaPrivit.ru,https://yaprivit.ru/,October 2016,10/6/2019
