April 2019,Hola Arkansas,Spanish/English,http://hola-arkansas.com/,Arkansas,Little Rock,PO Box 25743,https://www.facebook.com/HolaArkansas/,,https://www.instagram.com/holaarkansas/?utm_source=ig_embed,,Web,,,,"Hola! Media Group, LLC. ",2000,,,,,,,
April 2019,El Latino,Spanish,www.ellatinoarkansas.com,Arkansas,Little Rock,201 E Markham St. #200,https://www.facebook.com/ellatinoarkansas,,,,Newspaper,"News, Arts and Culture, Entertainment, Sports, Commentary, Latin American News",Weekly,Local independent media,,2001,,,,,"5,000 - 9,999",Advertising,1-5
April 2019,Univisión Arkansas,Spanish,latinoTVar.com,Arkansas,Fayetteville,4058 North College Ave. #245,https://www.facebook.com/Univision.arkansas,https://twitter.com/UnivisionAR,https://www.instagram.com/univisionarkansas/?hl=en,,TV,,,,Pinnacle Media,,,,,,,,
April 2019,La Prensa Libre del Noreste de Arkansas,Spanish,http://www.laprensanwa.com,Arkansas,Springdale,2560 Lowell Rd,https://www.facebook.com/laprensalibre/,,,,Newspaper,,,,Northwest Arkansas Newspapers LLC. ,,,,,,,,
April 2019,El Sol de Salinas,Spanish,http://www.elsoldesalinas.com,California,Salinas,123 W Alisal St.,https://www.facebook.com/elsoldesalinas,https://twitter.com/notielsol,,,Newspaper,,,,"Gannett Company, Inc.",1968,,,,,,,
April 2019,Univisión 39,Spanish,http://www.Univision39.com/,California,Bakersfield,5801 Truxtun Ave.,https://www.facebook.com/Univision,https://twitter.com/Univision39,,,TV,,,,Univision ,,,,,,,,
April 2019,Radio Bilingüe,Spanish/English,http://www.radiobilingue.org,California,Fresno,5005 E. Belmont Ave.,https://www.facebook.com/radiobilingue?ref=hl,https://twitter.com/radiobilingue,,,Radio,,,,"Radio Bilingüe, Inc.",,,,,,,,
April 2019,Adelante Valle,Spanish,http://www.ivpressonline.com/adelantevalle,California,El Centro,205 N Eighth St.,https://www.facebook.com/ivpress,,,,Newspaper,,Weekly,,Imperial Valley Press,,,,,,,,
April 2019,Telemundo 51 Fresno,Spanish,http://telemundo51fresno.com/,California,Fresno,"30 E River Park Pl W, Suite 200",https://www.facebook.com/TelemundoFresno/,https://twitter.com/TelemundoFresno,https://www.instagram.com/telemundofresno/?hl=en,,TV,,,,NBC Universal,,,,,,,,
April 2019,Vida En El Valle,Spanish/English,http://www.vidaenelvalle.com,California,Fresno,1626 E St. ,https://www.facebook.com/vidaenelvalle,https://twitter.com/vidaenelvalle,https://www.instagram.com/vidaenelvalle/?hl=en,https://www.youtube.com/user/vidaenelvalle,Newspaper,"News, Entertainment, Sports, Commentary",Weekly,Local independent media,,1990,,,,100,"50,000+. ",Advertising,1-5
April 2019,Ooorale USA,Spanish,http://www.oooraleusa.com,California,Huntington Park,"6330 Pacific Blvd., Suite 211",https://www.facebook.com/oraleusa?fref=ts,,,https://www.youtube.com/user/Oralemagazine/featured?view_as=public,Magazine,,,,,,,,,,,,
April 2019,La Opinión,Spanish,http://www.laopinion.com,California,Los Angeles,"915 Wilshire Blvd., Suite 800",https://www.facebook.com/LaOpinionLA,https://twitter.com/laopinionla,https://www.instagram.com/laopinionla/,,Newspaper,,Daily,,Impremedia,1926,,,,,,,
April 2019,KTNQ 1020 AM,Spanish,http://www.1020am.com,California,Los Angeles,5999 Center Dr,,,,,Radio,,,,Univision ,,,,,,,,
April 2019,La Nueva Voz,English,http://www.lanuevavoz.net,California,San Dimas,251 S Walnut Ave.,https://www.facebook.com/reneebarbee3?fref=ts,,,,Newspaper,"News, Arts and Culture, Entertainment, Commentary, Narrative non-fiction ",Monthly,Local independent media,,1981,,,,100+,"10,000 - 19,999","Advertising, Subscriptions/Sales of print product",1-5
April 2019,Vida,Spanish/English,http://vidanewspaper.com/,California,Oxnard,130 Palm Drive,https://www.facebook.com/vida.newspaper,,,,Newspaper,,,,Vida Publications ,,,,,,,,
April 2019,Telemundo 33 Sacramento,Spanish,http://telemundo33.com/,California,Sacramento,500 Media Pl,https://www.facebook.com/TelemundoSacramento,https://twitter.com/TelemundoSac,https://www.instagram.com/telemundosacramento/?hl=en,https://www.youtube.com/user/telemundo33sacrament,TV,,,,NBC Universal,,,,,,,,
